time_s,Ecell_V,I_mA,EnergyCharge_W_h,QCharge_mA_h,EnergyDischarge_W_h,QDischarge_mA_h,Temperature__C,cycleNumber,Ns,Clase
0,3.538316,1505.0242,0,0,0,0,19.981642,0,0,VAH25
10.00000047,3.5452902,1505.4182,0.014814664,4.178688503,0,0,19.965868,0,0,VAH25
20.00000095,3.5497034,1504.2361,0.029647886,8.357410174,0,0,19.997417,0,0,VAH25
30.00000142,3.552974,1505.2212,0.04449463,12.53609102,0,0,20.391788,0,0,VAH25
40.0000019,3.5554957,1504.63,0.059351634,16.7146936,0,0,20.147278,0,0,VAH25
50.00000237,3.5577416,1504.827,0.074218082,20.89331282,0,0,20.32869,0,0,VAH25
60.00000285,3.5595148,1504.4331,0.089091763,25.07188267,0,0,20.596861,0,0,VAH25
70.00000332,3.5612485,1504.236,0.103973394,29.25065073,0,0,20.565311,0,0,VAH25
80.0000038,3.5627458,1503.0538,0.118862145,33.42966079,0,0,20.486437,0,0,VAH25
90.00000427,3.5645192,1504.8271,0.133758143,37.60862498,0,0,20.636299,0,0,VAH25
100.0000047,3.5659375,1504.827,0.14865995,41.78755612,0,0,20.754608,0,0,VAH25
110.0000052,3.5673954,1504.2361,0.163567903,45.96650215,0,0,20.920244,0,0,VAH25
120.0000057,3.5689323,1504.2361,0.178482302,50.14545485,0,0,20.872919,0,0,VAH25
130.0000062,3.5704296,1504.4331,0.19340282,54.32436869,0,0,20.90447,0,0,VAH25
140.0000066,3.5719268,1505.6152,0.208330073,58.50341662,0,0,20.78616,0,0,VAH25
150.0000071,3.573503,1505.0242,0.223263706,62.68240653,0,0,20.999119,0,0,VAH25
160.0000076,3.5750003,1504.433,0.238203577,66.86139097,0,0,21.11743,0,0,VAH25
170.0000081,3.5764976,1504.2361,0.25314968,71.04036841,0,0,21.180529,0,0,VAH25
180.0000085,3.578192,1505.6152,0.268103226,75.21944731,0,0,21.5749,0,0,VAH25
190.000009,3.5796893,1504.827,0.283063171,79.39856551,0,0,21.346165,0,0,VAH25
200.0000095,3.5814624,1505.024,0.298030461,83.57766575,0,0,21.188416,0,0,VAH25
210.00001,3.5829992,1503.8419,0.313003894,87.75668795,0,0,21.26729,0,0,VAH25
220.0000104,3.5844965,1504.236,0.327983463,91.93567623,0,0,21.101656,0,0,VAH25
230.0000109,3.5861907,1504.4331,0.342970122,96.11466735,0,0,21.125317,0,0,VAH25
240.0000114,3.5878458,1504.63,0.357963972,100.2937348,0,0,21.196302,0,0,VAH25
250.0000119,3.5896189,1505.2209,0.372965032,104.4727468,0,0,21.480251,0,0,VAH25
260.0000123,3.5913527,1505.2212,0.387973351,108.6517622,0,0,21.330389,0,0,VAH25
270.0000128,3.5930076,1504.2361,0.402988612,112.8307853,0,0,21.511801,0,0,VAH25
280.0000133,3.5946624,1505.2212,0.418010875,117.0098321,0,0,21.219967,0,0,VAH25
290.0000138,3.5963962,1504.0391,0.43304034,121.1888669,0,0,21.330389,0,0,VAH25
300.0000142,3.5981693,1505.0242,0.448077282,125.3679204,0,0,21.196302,0,0,VAH25
310.0000147,3.5997455,1504.2361,0.463120873,129.5469911,0,0,21.283066,0,0,VAH25
320.0000152,3.6016369,1504.8273,0.478172471,133.7260904,0,0,21.283066,0,0,VAH25
